id,不知道,不知道
2000580,第九天的物资援助,第九天的物資援助
2000581,"啊，已经是第9天了，本想休息一下，毕竟年纪大了。
可看到大家似乎还是对种草的热情不减，决定再援助一波。
不过可求求大家不要再肝草了，土都翻烂了，我们已经知道种草不合理了，我们会尽快调整各类植物的生长周期。

另外，琉璃岛已经收到了很多工坊主的反馈来信，
为了让琉璃岛变得更优秀，我们也在加紧脚步做更多的改善计划，
希望能在下一次测试中给大家带来更好的体验！

明天将是本次测试最后一天，我们再为露西姆发放<color=#548FA7>1000钻</color>的资源补给，不过我们不会把大家的资源留到下一次测试，没用完得尽快消耗吧~","啊，已经是第9天了，本想休息一下，毕竟年纪大了。
可看到大家似乎还是对种草的热情不减，决定再援助一波。
不过可求求大家不要再肝草了，土都翻烂了，我们已经知道种草不合理了，我们会尽快调整各类植物的生长周期。

另外，琉璃岛已经收到了很多工坊主的反馈来信，
为了让琉璃岛变得更优秀，我们也在加紧脚步做更多的改善计划，
希望能在下一次测试中给大家带来更好的体验！

明天将是本次测试最后一天，我们再为露西姆发放<color=#548FA7>1000钻</color>的资源补给，不过我们不会把大家的资源留到下一次测试，没用完得尽快消耗吧~"
2000590,工坊停运通知,工坊停運通知
2000591,"很高兴妖精工坊能够在露西姆的手中展现出如此不同的光彩，
虽然非常不舍工坊与城镇中的大家，我们也要为正式营业开始新一轮的筹备了哦~
工坊会在2020.6.10 12：00时进入歇业状态，城镇中的大家和我都十分期待露西姆下次的表现，
但在那之前就请带着期盼好好的休息一下吧！
十分感谢你在这段时间中的付出，我相信没有任何付出会没有回报，没有任何期盼会被辜负，请怀抱着信心等待下次的营业吧！","很高兴妖精工坊能够在露西姆的手中展现出如此不同的光彩，
虽然非常不舍工坊与城镇中的大家，我们也要为正式营业开始新一轮的筹备了哦~
工坊会在2020.6.10 12：00时进入歇业状态，城镇中的大家和我都十分期待露西姆下次的表现，
但在那之前就请带着期盼好好的休息一下吧！
十分感谢你在这段时间中的付出，我相信没有任何付出会没有回报，没有任何期盼会被辜负，请怀抱着信心等待下次的营业吧！"
2000600,阵营加入奖励,陣營加入獎勵
2000601,这是由您选择的阵营为您准备的阵营加入奖励，{0}感谢您的加入。,這是由您選擇的陣營為您準備的陣營加入獎勵，{0}感謝您的加入。
2000610,活动结算奖励,活動結算獎勵
2000611,本次活动，您加入的{0}排名第{1}，获得如下奖励。,本次活動，您加入的{0}排名第{1}，獲得如下獎勵。
2000620,事件奖励,事件獎勵
2000621,在本次活动中，您与{0}一同，披荆斩棘，率先完成了事件——{1}。,在本次活動中，您與{0}一同，披荊斬棘，率先完成了事件——{1}。
2000630,炼金证明,鍊金證明
2000631,对于{0}的研究与制成，炼金协会已经无人能出你之右，炼金协特别为您准备了一个证明徽章用于对外展示。,對於{0}的研究與製成，鍊金協會已經無人能出你之右，鍊金協特別為您準備了一個證明徽章用於對外展示。
2000640,测试邮件,測試郵件
2000641,点击<href link=http://www.nppa.gov.cn arg=1>奇怪的东西</href>可以收到奖励,點擊<href link=http://www.nppa.gov.cn arg=1>奇怪的東西</href>可以收到獎勵
2000650,徽章获取通知,徽章獲取通知
2000651,这是您获取的对应徽章奖励，望您在炼金之旅中顺利成长。,這是您獲取的對應徽章獎勵，望您在鍊金之旅中順利成長。
2001000,暖冬慰问（一）,暖冬慰問（一）
2001001,"欢迎来到诺弗兰大陆，妖精工坊今天就要试营业咯！在开始炼金之前，有几点小贴士您需要注意一下：
【I】本次暖冬测试时间为2020年12月30日至2021年1月13日~
【II】冬日关爱福利将在之后的每日11:00送达，请您留意邮箱及时领取；
【III】测试期间若有任何问题或是建议，可联系官方客服（QQ：800864530）进行反馈喔~
【IV】更多诺弗兰大陆秘闻，敬请关注官方biliili动态、微博、微信公众号！
随信奉上小小贺礼，不成敬意！祝愿您成为诺弗兰大陆的引路之光！","欢迎来到诺弗兰大陆，妖精工坊今天就要试营业咯！在开始炼金之前，有几点小贴士您需要注意一下：
【I】本次暖冬测试时间为2020年12月30日至2021年1月13日~
【II】冬日关爱福利将在之后的每日11:00送达，请您留意邮箱及时领取；
【III】测试期间若有任何问题或是建议，可联系官方客服（QQ：800864530）进行反馈喔~
【IV】更多诺弗兰大陆秘闻，敬请关注官方biliili动态、微博、微信公众号！
随信奉上小小贺礼，不成敬意！祝愿您成为诺弗兰大陆的引路之光！"
2001010,暖冬慰问（二）,暖冬慰問（二）
2001011,"警告！警告！2020余额已不足一天！
炼金术师您在年初时定下的计划完成了吗？（灵魂发问.jpg )
哈哈不开玩笑了~琉璃岛昨晚下了好大的雪，今早我发现不二带着行李前来投靠，说是希望通过工作帮您减轻一些烦恼。（ps：若已拥有不二妖精，则将转化为成长值）
顺便预告一下，第三天的贺礼是任何地方都可能会需要的东西喔！
提前祝您新年快乐！别忘了参与新年互动话题赢好礼哇~","警告！警告！2020余额已不足一天！
炼金术师您在年初时定下的计划完成了吗？（灵魂发问.jpg )
哈哈不开玩笑了~琉璃岛昨晚下了好大的雪，今早我发现不二带着行李前来投靠，说是希望通过工作帮您减轻一些烦恼。（ps：若已拥有不二妖精，则将转化为成长值）
顺便预告一下，第三天的贺礼是任何地方都可能会需要的东西喔！
提前祝您新年快乐！别忘了参与新年互动话题赢好礼哇~"
2001020,暖冬慰问（三）,暖冬慰問（三）
2001021,"新年快乐！炼金术师~
俗话说，一年之计在于春，一天之计在于晨。
2020年实属不易，好在2021年已经到来，一切又是新的开始~
今日贺礼为您奉上，愿新春已后，吉吉利利，百事都如意。
顺便预告一下，第四天的贺礼是和时间相关的喔！","新年快乐！炼金术师~
俗话说，一年之计在于春，一天之计在于晨。
2020年实属不易，好在2021年已经到来，一切又是新的开始~
今日贺礼为您奉上，愿新春已后，吉吉利利，百事都如意。
顺便预告一下，第四天的贺礼是和时间相关的喔！"
2001030,暖冬慰问（四）,暖冬慰問（四）
2001031,"琉璃岛的生活还习惯吗？
习惯当然是最好啦，不习惯的话也请多多提出您宝贵的意见喔！
如何联系我们？试着在门口的邮箱里塞一封意见信怎么样？
开玩笑的，开玩笑的！想要反馈意见的话，请使用通讯设备找到管理者吧，这是用于反馈意见的神秘QQ：800864530。
顺便预告一下，第五天的贺礼是能够让妖精蜕变的进阶石喔！","琉璃岛的生活还习惯吗？
习惯当然是最好啦，不习惯的话也请多多提出您宝贵的意见喔！
如何联系我们？试着在门口的邮箱里塞一封意见信怎么样？
开玩笑的，开玩笑的！想要反馈意见的话，请使用通讯设备找到管理者吧，这是用于反馈意见的神秘QQ：800864530。
顺便预告一下，第五天的贺礼是能够让妖精蜕变的进阶石喔！"
2001040,暖冬慰问（五）,暖冬慰問（五）
2001041,"没想到你们真的在这里将妖精工坊开起来了呀！
不过你知不知道关于妖精的由来？他们可不是生物这么容易看穿的小家伙喔~
妖精出现的条件十分苛刻，只有那些蕴含着极其庞大魔法的地区，
经过数十年的沉积才能在某些特殊的物件里孕育出神识，继而转化为妖精……
妖精们是非常善良的种族，因为孕育它们的魔力都是来自于罗兰贤者从高天带下来的清圣魔力，
所以它们打从有意识开始就是我们最好的伙伴了！
咳咳，唠叨了这么多。我稍微带来一些能够进化妖精的进阶石，在经营过程中也不要忘了为此操劳着的妖精们~
顺便预告一下，第六天的贺礼是闪着金灿灿光芒的东西喔！","没想到你们真的在这里将妖精工坊开起来了呀！
不过你知不知道关于妖精的由来？他们可不是生物这么容易看穿的小家伙喔~
妖精出现的条件十分苛刻，只有那些蕴含着极其庞大魔法的地区，
经过数十年的沉积才能在某些特殊的物件里孕育出神识，继而转化为妖精……
妖精们是非常善良的种族，因为孕育它们的魔力都是来自于罗兰贤者从高天带下来的清圣魔力，
所以它们打从有意识开始就是我们最好的伙伴了！
咳咳，唠叨了这么多。我稍微带来一些能够进化妖精的进阶石，在经营过程中也不要忘了为此操劳着的妖精们~
顺便预告一下，第六天的贺礼是闪着金灿灿光芒的东西喔！"
2001050,暖冬慰问（六）,暖冬慰問（六）
2001051,"哎哟干的不错啊，真是令人叹为观止的运营手段！
既然如此我想你应该也不需要我的帮助了吧？
那就再送你一些钥匙和金币作为奖励吧！
顺便预告一下，第七天的贺礼是能够让妖精蜕变的进阶石喔！","哎哟干的不错啊，真是令人叹为观止的运营手段！
既然如此我想你应该也不需要我的帮助了吧？
那就再送你一些钥匙和金币作为奖励吧！
顺便预告一下，第七天的贺礼是能够让妖精蜕变的进阶石喔！"
2001060,暖冬慰问（七）,暖冬慰問（七）
2001061,"我想澄清一些事情。
我的身高真的不是一米六九，只是教会来测量身高那天我膝盖风湿犯了，只能稍微蹲着走路所以才……你没有误会？
真是太好了，毕竟怎么想我的身高也不会是一米六九啊喂！
咳咳，我又带来一些能够进化妖精的进阶石，辛苦的小妖精也需要安慰。
顺便预告一下，第八天的贺礼是能开启宝箱东西喔！","我想澄清一些事情。
我的身高真的不是一米六九，只是教会来测量身高那天我膝盖风湿犯了，只能稍微蹲着走路所以才……你没有误会？
真是太好了，毕竟怎么想我的身高也不会是一米六九啊喂！
咳咳，我又带来一些能够进化妖精的进阶石，辛苦的小妖精也需要安慰。
顺便预告一下，第八天的贺礼是能开启宝箱东西喔！"
2001070,暖冬慰问（八）,暖冬慰問（八）
2001071,"怎么样，对于这里有着妖精陪伴的生活还习惯吗？
习惯当然是最好啦，毕竟妖精可是我们最好的伙伴！
不过我看工坊的经营也到了最忙碌的时候，
就送你二十把能够打开箱子的钥匙，试着召集更多的妖精伙伴吧~
在妖精的帮助下，相信你一定能成为诺弗兰大陆的引路之光！
顺便预告一下，第九天的贺礼是和时间有关的喔！","怎么样，对于这里有着妖精陪伴的生活还习惯吗？
习惯当然是最好啦，毕竟妖精可是我们最好的伙伴！
不过我看工坊的经营也到了最忙碌的时候，
就送你二十把能够打开箱子的钥匙，试着召集更多的妖精伙伴吧~
在妖精的帮助下，相信你一定能成为诺弗兰大陆的引路之光！
顺便预告一下，第九天的贺礼是和时间有关的喔！"
2001080,暖冬慰问（九）,暖冬慰問（九）
2001081,"是不是觉得在工坊中用于等待的时间太久太久了？
是不是每次只运动五分钟就觉得无事可做了？
是不是觉得要等待素材是不是太不爽了？
完全不用为此焦急等待，快使用这些时间碎片吧，让您不再等待妖精们的工作，更好的体验经营工坊带来的乐趣！（ps：不要舍不得用加速啊啊啊）
顺便预告一下，第十天的贺礼是魔！晶！喔！","是不是觉得在工坊中用于等待的时间太久太久了？
是不是每次只运动五分钟就觉得无事可做了？
是不是觉得要等待素材是不是太不爽了？
完全不用为此焦急等待，快使用这些时间碎片吧，让您不再等待妖精们的工作，更好的体验经营工坊带来的乐趣！（ps：不要舍不得用加速啊啊啊）
顺便预告一下，第十天的贺礼是魔！晶！喔！"
2001090,暖冬慰问（十）,暖冬慰問（十）
2001091,"魔晶啊魔晶，谁是世界上最古老的妖精？
当然是我帕修姆啦!
魔晶啊魔晶，谁是世界上最强大的炼金术师？
当然是您啦！
魔晶啊魔晶，预告一下第十一天的贺礼是什么？
呼咻~~~是闪着金光的金币啊！","魔晶啊魔晶，谁是世界上最古老的妖精？
当然是我帕修姆啦!
魔晶啊魔晶，谁是世界上最强大的炼金术师？
当然是您啦！
魔晶啊魔晶，预告一下第十一天的贺礼是什么？
呼咻~~~是闪着金光的金币啊！"
2001100,暖冬慰问（十一）,暖冬慰問（十一）
2001101,"赚钱难，难赚钱，赚钱有如上青天~
花钱乐，花钱易，花钱日子赛如意~
为君奉上金币若干，祝君心欢畅，体安康，幸福快乐相伴随！","赚钱难，难赚钱，赚钱有如上青天~
花钱乐，花钱易，花钱日子赛如意~
为君奉上金币若干，祝君心欢畅，体安康，幸福快乐相伴随！"
2001110,暖冬慰问（十二）,暖冬慰問（十二）
2001111,"你有没有考虑和镇子里的大家成为朋友呢？
大家可是都很希望与你建立友情的喔，所以遇见喜欢人就回应他们的心意吧！
当然，不能空手回应啦…就用我准备的金色钥匙回应吧！
最强的魔法就是友谊的力量啊哈哈哈哈！
顺便预告一下，第十三天的贺礼是魔晶喔！","你有没有考虑和镇子里的大家成为朋友呢？
大家可是都很希望与你建立友情的喔，所以遇见喜欢人就回应他们的心意吧！
当然，不能空手回应啦…就用我准备的金色钥匙回应吧！
最强的魔法就是友谊的力量啊哈哈哈哈！
顺便预告一下，第十三天的贺礼是魔晶喔！"
2001120,暖冬慰问（十三）,暖冬慰問（十三）
2001121,"号外！号外！【暖冬测试】仅剩3天！仅剩3天！
1500魔晶贺礼奉上，走过路过不要错过！！！
ps：第十四天的贺礼是前所未有的倾情大放送！！","号外！号外！【暖冬测试】仅剩3天！仅剩3天！
1500魔晶贺礼奉上，走过路过不要错过！！！
ps：第十四天的贺礼是前所未有的倾情大放送！！"
2001130,暖冬慰问（十四）,暖冬慰問（十四）
2001131,"工坊的经营已经得心应手了吧？和镇子里的大家也成为了很好的朋友了吧？
没想到，身为新人的你只用14天，就在镇子里取得了这样的好名声……
真是一个不容小觑的年轻人呢！
所以这次的贺礼，是前所未有的倾情大放送——40把钥匙！
试着召唤到更多、更强的妖精伙伴吧！

老夫期盼着，看到你的光芒照亮诺弗兰大陆的那一天~","工坊的经营已经得心应手了吧？和镇子里的大家也成为了很好的朋友了吧？
没想到，身为新人的你只用14天，就在镇子里取得了这样的好名声……
真是一个不容小觑的年轻人呢！
所以这次的贺礼，是前所未有的倾情大放送——40把钥匙！
试着召唤到更多、更强的妖精伙伴吧！

老夫期盼着，看到你的光芒照亮诺弗兰大陆的那一天~"
2001140,暖冬慰问（十五）,暖冬慰問（十五）
2001141,"很高兴妖精工坊能够在炼金术师的手中展现出如此不同的光彩！
虽然非常不舍工坊与城镇中的大家，但为了让琉璃岛变得更优秀，很抱歉工坊于2021年1月13日18：00后进入歇业状态~
感谢您在这段时间里的辛苦付出，也非常感谢所有炼金术师提出的意见与想法！我们会加紧脚步做更多的改善计划，请怀抱着信心等待下一次营业！
相信《诺弗兰物语》一定会以更好的状态与您相见，我们不见不散！","很高兴妖精工坊能够在炼金术师的手中展现出如此不同的光彩！
虽然非常不舍工坊与城镇中的大家，但为了让琉璃岛变得更优秀，很抱歉工坊于2021年1月13日18：00后进入歇业状态~
感谢您在这段时间里的辛苦付出，也非常感谢所有炼金术师提出的意见与想法！我们会加紧脚步做更多的改善计划，请怀抱着信心等待下一次营业！
相信《诺弗兰物语》一定会以更好的状态与您相见，我们不见不散！"
2002000,购买邮件,購買郵件
2002001,您刚刚购买的{0}已到货，附件是相关物品，请及时查收！,您剛剛購買的{0}已到貨，附件是相關物品，請及時查收！
2002010,月卡领取,月卡領取
2002011,这是您今日的月卡魔晶，请查收附件！,這是您今日的月卡魔晶，請查收附件！
2003000,大活动配方,大活动配方
2003001,"听凯因神父说，海中突然出现了一座冰山，之前观测到附近的元素出现大面积的紊乱，我还以为是海怪出现了，哈哈，没想到，竟然是一座山。所以说，世界是真的奇妙啊。 
       接下来的这段时间，这一片区域肯定会出现很多麻烦，也会有不少外人出现，说不定在他们去酒馆休息的时候能打听到一些最新的炼金配方哦，只希望他们不要打扰到我的研究吧。
说起研究，海洋上的元素紊乱中蕴藏着不少的“真理”，凭借这些“真理”，我自己也发现了一些新的炼金配方。我对炼金一窍不通，不过，如果是你的话一定能将这些配方物尽其用吧。配方已随信寄过去，不用谢啦。
       哦，对了，如果理之塔的人出现，一定要小心啊。","听凯因神父说，海中突然出现了一座冰山，之前观测到附近的元素出现大面积的紊乱，我还以为是海怪出现了，哈哈，没想到，竟然是一座山。所以说，世界是真的奇妙啊。 
       接下来的这段时间，这一片区域肯定会出现很多麻烦，也会有不少外人出现，说不定在他们去酒馆休息的时候能打听到一些最新的炼金配方哦，只希望他们不要打扰到我的研究吧。
说起研究，海洋上的元素紊乱中蕴藏着不少的“真理”，凭借这些“真理”，我自己也发现了一些新的炼金配方。我对炼金一窍不通，不过，如果是你的话一定能将这些配方物尽其用吧。配方已随信寄过去，不用谢啦。
       哦，对了，如果理之塔的人出现，一定要小心啊。"
3000000,妖精属性,妖精屬性
3000001,"1.妖精拥有4个能力属性：<color=#548FA7>采集</color>、<color=#548FA7>培育</color>、<color=#548FA7>炼金</color>、<color=#548FA7>幸运</color>。
<color=#548FA7>采集</color>：在【派遣】中影响能采集到的掉落物种类和数量，升级不会提升采集属性。
<color=#548FA7>培育</color>：在【箱庭】中影响该妖精培育负责培育的生物收获时的数量。
<color=#548FA7>炼金</color>：在【炼金】中影响炼成品的星级品质以及数量。
<color=#548FA7>幸运</color>：在部分玩法中影响特殊物品获得概率，及本身部分技能发动概率。

2.妖精拥有1~2个魔法属性。
魔法属性种类有<color=#548FA7>风、土、水、火</color>，分别对应<color=#548FA7>草原、山地、湖泊、火山</color>。对应的地形只能由拥有对应的属性妖精负责。
双属性妖精的属性有主副之分，副属性数值为主属性数值的70%。","1.妖精擁有4個能力屬性：<color=#548FA7>採集</color>、<color=#548FA7>培育</color>、<color=#548FA7>鍊金</color>、<color=#548FA7>幸運</color>。
<color=#548FA7>採集</color>：在【派遣】中影響能採集到的掉落物種類和數量，升級不會提升採集屬性。
<color=#548FA7>培育</color>：在【箱庭】中影響該妖精培育負責培育的生物收穫時的數量。
<color=#548FA7>鍊金</color>：在【鍊金】中影響鍊成品的星級品質以及數量。
<color=#548FA7>幸運</color>：在部分玩法中影響特殊物品獲得概率，及本身部分技能發動概率。

2.妖精擁有1~2個魔法屬性。
魔法屬性種類有<color=#548FA7>風、土、水、火</color>，分別對應<color=#548FA7>草原、山地、湖泊、火山</color>。對應的地形只能由擁有對應的屬性妖精負責。
雙屬性妖精的屬性有主副之分，副屬性數值為主屬性數值的70%。"
3000010,委托帮助,委託幫助
3000011,"1.交付指定<color=#548FA7>闪亮炼成品</color>完成委托，获取金币，魔晶石等奖励。

2.交付或拒绝委托之后，新委托出现需要一段等待时间。

3.随着工坊影响力等级提升，将会出现更多种类的炼成品委托，奖励也会更加丰厚。

4.累计交付相同委托人的委托，将有机会触发回礼。","1.交付指定<color=#548FA7>闪亮炼成品</color>完成委托，获取金币，魔晶石等奖励。

2.交付或拒绝委托之后，新委托出现需要一段等待时间。

3.随着工坊影响力等级提升，将会出现更多种类的炼成品委托，奖励也会更加丰厚。

4.累计交付相同委托人的委托，将有机会触发回礼。"
3000020,箱庭帮助,箱庭幫助
3000021,"1.搭建培育架并指派妖精培育炼金素材。培育架有各自的地形属性，需要指派<color=#548FA7>对应属性</color>的妖精才能使用。

2.培育架的培育形式分三大类，不同的形式需要消耗不同的物品；
<color=#548FA7>种子类</color>：消耗对应的植物种子培育成品；每个素材单独生长成熟。
<color=#548FA7>果子类</color>：消耗相应的肥料道具培育成品；所有的素材将一起成熟。
<color=#548FA7>菌菇类，虫类</color>：不需要消耗任何物品，自生长；素材依次成熟。

3.每个培育物都有对妖精的<color=#548FA7>培育</color>属性的<color=#548FA7>合格标准</color>，指派达到标准的妖精可<color=#548FA7>减低培育时间</color>以及<color=#548FA7>增加产出数量</color>，反之会延长时间与下降产量。","1.搭建培育架並指派妖精培育鍊金素材。培育架有各自的地形屬性，需要指派<color=#548FA7>對應屬性</color>的妖精才能使用。

2.培育架的培育形式分三大類，不同的形式需要消耗不同的物品；
<color=#548FA7>種子類</color>：消耗對應的植物種子培育成品；每個素材單獨生長成熟。
<color=#548FA7>果子類</color>：消耗相應的肥料道具培育成品；所有的素材將一起成熟。
<color=#548FA7>菌菇類，蟲類</color>：不需要消耗任何物品，自生長；素材依次成熟。

3.每個培育物都有對妖精的<color=#548FA7>培育</color>屬性的<color=#548FA7>合格標準</color>，指派達到標準的妖精可<color=#548FA7>減低培育時間</color>以及<color=#548FA7>增加產出數量</color>，反之會延長時間與下降產量。"
3000030,派遣帮助,派遣幫助
3000031,"1.随着主线进程解锁采集区域，派遣妖精收集炼金素材。采集区域有各自的地形属性，需要指派<color=#548FA7>对应属性</color>的妖精才能采集。无属性区域任何妖精都可以派遣采集。

2.升级采集区域，可以解锁该地区更多种类的采集物品，或派遣更多的妖精。

3.一个区域内派遣的所有妖精的<color=#548FA7>总采集</color>将影响采集的<color=#548FA7>时间长短</color>以及能采集到的<color=#548FA7>素材种类</color>。

4.一个区域内派遣的所有妖精的<color=#548FA7>总幸运</color>将影响采集完成后该地区<color=#548FA7>额外发现</color>物品的概率。","1.隨著主線進程解鎖採集區域，派遣妖精收集鍊金素材。採集區域有各自的地形屬性，需要指派<color=#548FA7>對應屬性</color>的妖精才能採集。無屬性區域任何妖精都可以派遣採集。

2.升級採集區域，可以解鎖該地區更多種類的採集物品，或派遣更多的妖精。

3.一個區域內派遣的所有妖精的<color=#548FA7>總採集</color>將影響採集的<color=#548FA7>時間長短</color>以及能採集到的<color=#548FA7>素材種類</color>。

4.一個區域內派遣的所有妖精的<color=#548FA7>總幸運</color>將影響採集完成後該地區<color=#548FA7>額外發現</color>物品的概率。"
3000040,炼金帮助,鍊金幫助
3000041,"1.<color=#548FA7>【研制】</color>
需要指派妖精参与才能研制，妖精的<color=#548FA7>炼金</color>属性将影响研制的成功率。
不消耗对应素材而使用金币作为替代，研制出新的配方后便可在<color=#548FA7>炼金</color>炼成该物。
素材的研制分为<color=#548FA7>大量</color>和<color=#548FA7>少量</color>。
努力探索出炼成品的完美配方吧。
※会根据研制的配方来消耗使用的材料。小心！不使用完美配方的话，会浪费大量的材料哦！
※当研制碰到瓶颈了，可以考虑使用露西姆积攒的<color=#548FA7>灵光</color>，获得全新的神秘配方！

2.<color=#548FA7>【炼金】</color>
需要指派妖精参与才能炼金。
配方分为<color=#548FA7>调和、炼金、秘方</color>。
<color=#548FA7>调和</color>：没有任何的魔法属性，所有妖精均可参与调和，妖精的<color=#548FA7>炼金</color>属性将影响调和物的数量。
<color=#548FA7>炼金、秘方</color>：有自身的魔法属性，需要对应的妖精才可炼成（特殊属性所有妖精均可参与），妖精的<color=#548FA7>炼金</color>属性将影响炼成品的星级品质以及数量。
※重复炼制或重复研制某一种配方，这个配方的熟练度将会上升，而熟练度将会影响它的出售价格。","1.<color=#548FA7>【研製】</color>
需要指派妖精參與才能研製，妖精的<color=#548FA7>鍊金</color>屬性將影響研製的成功率。
不消耗對應素材而使用金幣作為替代，研製出新的配方後便可在<color=#548FA7>鍊金</color>鍊成該物。
素材的研製分為<color=#548FA7>大量</color>和<color=#548FA7>少量</color>。
努力探索出鍊成品的完美配方吧。
※會根據研製的配方來消耗使用的材料。小心！不使用完美配方的話，會浪費大量的材料哦！
※當研製碰到瓶頸了，可以考慮使用露西姆積攢的<color=#548FA7>靈光</color>，獲得全新的神秘配方！

2.<color=#548FA7>【鍊金】</color>
需要指派妖精參與才能鍊金。
配方分為<color=#548FA7>調和、鍊金、秘方</color>。
<color=#548FA7>調和</color>：沒有任何的魔法屬性，所有妖精均可參與調和，妖精的<color=#548FA7>鍊金</color>屬性將影響調和物的數量。
<color=#548FA7>鍊金、秘方</color>：有自身的魔法屬性，需要對應的妖精才可鍊成（特殊屬性所有妖精均可參與），妖精的<color=#548FA7>鍊金</color>屬性將影響鍊成品的星級品質以及數量。
※重複鍊製或重複研製某一種配方，這個配方的熟練度將會上升，而熟練度將會影響它的出售價格。"
3000050,金币召唤,金幣召喚
3000051,"1.花费金币召唤出各种礼物、妖精进化石及最高二星的妖精。

2.可以消耗初级卡池钥匙直接抽取。","1.花費金幣召喚出各種禮物、妖精進化石及最高二星的妖精。

2.可以消耗初級卡池鑰匙直接抽取。"
3000060,钥匙召唤,鑰匙召喚
3000061,1.花费钥匙召唤出各种礼物、妖精进化石及大多数妖精。,1.花費鑰匙召喚出各種禮物、妖精進化石及大多數妖精。
3000070,金币召唤2,金幣召喚2
3000071,"1.花费金币召唤出各种礼物、妖精进化石及最高三星的妖精。

2.可以消耗中级卡池钥匙直接抽取。","1.花費金幣召喚出各種禮物、妖精進化石及最高三星的妖精。

2.可以消耗中級卡池鑰匙直接抽取。"
3000080,金币召唤3,金幣召喚3
3000081,"1.花费金币召唤出各种礼物、妖精进化石及最高四星的妖精。

2.可以消耗高级卡池钥匙直接抽取。","1.花費金幣召喚出各種禮物、妖精進化石及最高四星的妖精。

2.可以消耗高級卡池鑰匙直接抽取。"
3000090,祈祷帮助,祈禱幫助
3000091,"1.每日消耗金币祈祷可以获得各类奖励，根据祈祷的<color=#548FA7>天数</color>可以升级奖励的档次。

2.奖励池于每月1日5:00更新，祈祷的<color=#548FA7>天数</color>也将置零从头累计。

3.每日5:00刷新祈祷次数。","1.每日消耗金幣祈禱可以獲得各類獎勵，根據祈禱的<color=#548FA7>天數</color>可以升級獎勵的檔次。

2.獎勵池於每月1日5:00更新，祈禱的<color=#548FA7>天數</color>也將置零從頭累計。

3.每日5:00刷新祈禱次數。"
3000101,"1、通过提交各种任务获得贡献度和积分，贡献度达标可以领取阶段奖励。

2、阵营任务分为重复和常规，重复任务可以重复提交。

PS：不是每一个人都能坚守本心的。","1、通過提交各種任務獲得貢獻度和積分，貢獻度達標可以領取階段獎勵。

2、陣營任務分為重複和常規，重複任務可以重複提交。

PS：不是每一個人都能堅守本心的。"
3000110,学期作业,學期作業
3000111,"1.日常每日5:00刷新。

2.周常每周星期一5:00刷新。

3.学期期间内，玩家完成日常、周常获取<color=#548FA7>学识的星光</color>提升学识之星等级。知识之星等级提升可在魔法教室的抽屉里获得更多的奖励。

4.学期将持续3个月。学期结束时，购买钥匙的玩家所有的学识的星光将按照百分比累积到下一学期。","1.日常每日5:00刷新。

2.周常每週星期一5:00刷新。

3.學期期間內，玩家完成日常、周常獲取<color=#548FA7>學識的星光</color>提升學識之星等級。知識之星等級提升可在魔法教室的抽屜裏獲得更多的獎勵。

4.學期將持續3個月。學期結束時，購買鑰匙的玩家所有的學識的星光將按照百分比累積到下一學期。"
3000121,"魔法教室开课啦！只要学生的学识之星达到一定的等级，就能获取抽屉里格蕾老师为大家准备的各种奖励~

1.学期期间内，完成日常、周常获取<color=#548FA7>学识的星光</color>提升学识之星的等级。知识之星等级提升可在魔法教室的抽屉里获得更多的奖励。

2.购买右边的钥匙解锁抽屉里右边的奖励！（还有<color=#548FA7>妖精的寄托物！</color>）

3.每个学期将持续3个月。学期结束时，购买钥匙的玩家所有的学识的星光将按照百分比累积到下一学期。","魔法教室開課啦！只要學生的學識之星達到一定的等級，就能獲取抽屜裏格蕾老師為大家準備的各種獎勵~

1.學期期間內，完成日常、周常獲取<color=#548FA7>學識的星光</color>提升學識之星的等級。知識之星等級提升可在魔法教室的抽屜裏獲得更多的獎勵。

2.購買右邊的鑰匙解鎖抽屜裏右邊的獎勵！（還有<color=#548FA7>妖精的寄託物！</color>）

3.每個學期將持續3個月。學期結束時，購買鑰匙的玩家所有的學識的星光將按照百分比累積到下一學期。"
3000130,妖精技能,妖精技能
3000131,"1.妖精技能等级<color=#548FA7>等于</color>槽位等级。

2.每位妖精的技能池<color=#548FA7>各不相同</color>。

3.升级槽位可解锁更多新的技能。

4.技能分为<color=#548FA7>普通技能</color>与<color=#548FA7>专属技能</color>。普通技能可以重复习得，专属技能只能习得一个。

5.技能冥想与升级所需的甜点，都可以在采集中获得，与妖精主属性相同。","1.妖精技能等級<color=#548FA7>等於</color>槽位等級。

2.每位妖精的技能池<color=#548FA7>各不相同</color>。

3.升級槽位可解鎖更多新的技能。

4.技能分為<color=#548FA7>普通技能</color>與<color=#548FA7>專屬技能</color>。普通技能可以重複習得，專屬技能只能習得一個。

5.技能冥想與升級所需的甜點，都可以在採集中獲得，與妖精主屬性相同。"
3000140,学院请教,學院請教
3000141,"1.通过每日3次的请教，提升相应配方的熟练度。

2.可以通过刷新请教随机的其他三种配方。刷新每日有三次免费次数，每日5:00重置。","1.通過每日3次的請教，提升相應配方的熟練度。

2.可以通過刷新請教隨機的其他三種配方。刷新每日有三次免費次數，每日5:00重置。"
3000150,时间球帮助,時間球幫助
